Network Group Var,Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming,,,,,
Network Group (13. Network),CNBC,Android,Mobile Phone,Android Phone,Mobile App," 5,984 "," 24,295 ","4,455"," 30,279 ",,,,,
Network Group (13. Network),CNBC,Android,Tablet,Android Tablet,Mobile App," 1,515 "," 5,735 ","1,243"," 7,250 ",,,,,
Network Group (13. Network),MSNBC,iOS,Mobile Phone,iPhone,Mobile App," 199,478 "," 1,477,623 ","61,510"," 1,677,101 ",,,,,
Network Group (13. Network),MSNBC,iOS,Tablet,iPad,Mobile App," 139,399 "," 949,377 ","43,919"," 1,088,776 ",,,,,
Network Group (13. Network),MSNBC,iOS,Media Player,iPod,Mobile App," 1,553 ", 131 ,230," 1,684 ",,,,,
Network Group (13. Network),Esquire,iOS,Mobile Phone,iPhone,Mobile App, -   , -   ,0, -   ,,,,,
Network Group (13. Network),Esquire,iOS,Tablet,iPad,Mobile App, -   , -   ,0, -   ,,,,,
Network Group (13. Network),Esquire,iOS,Media Player,iPod,Mobile App, -   , -   ,0, -   ,,,,,
Network Group (13. Network),NBC Universo,iOS,Mobile Phone,iPhone,Mobile App," 37,925 ", 894 ,"4,038"," 38,819 ",,,,,
Network Group (13. Network),NBC Universo,iOS,Tablet,iPad,Mobile App," 7,335 ", 256 ,826," 7,591 ",,,,,
Network Group (13. Network),NBC Universo,iOS,Media Player,iPod,Mobile App, 609 , -   ,48, 609 ,,,,,
Network Group (13. Network),NBC Universo,Android,Mobile Phone,Android Phone,Mobile App," 15,141 ", 717 ,"1,450"," 15,858 ",,,,,
Network Group (13. Network),NBC Universo,Android,Tablet,Android Tablet,Mobile App," 1,779 ", 109 ,197," 1,888 ",,,,,
Network Group (13. Network),NBC Entertainment,iOS,Mobile Phone,iPhone,Mobile App," 1,826,387 "," 97,200 ","263,515"," 1,923,587 ",,,,,
Network Group (13. Network),NBC Entertainment,iOS,Tablet,iPad,Mobile App," 1,638,150 "," 110,711 ","234,100"," 1,748,861 ",,,,,
Network Group (13. Network),NBC Entertainment,iOS,Media Player,iPod,Mobile App," 21,859 ", 688 ,"3,237"," 22,547 ",,,,,
Network Group (13. Network),NBC Entertainment,Android,Mobile Phone,Android Phone,Mobile App," 1,120,510 "," 18,660 ","152,005"," 1,139,170 ",,,,,
Network Group (13. Network),NBC Entertainment,Android,Tablet,Android Tablet,Mobile App," 341,408 "," 9,096 ","44,400"," 350,504 ",,,,,
Network Group (13. Network),NBC Entertainment,Android,Other,Android Other,Mobile App, 165 , 11 ,23, 176 ,,,,,
Network Group (13. Network),NBC Entertainment,Android,Set-top Box,Android Other,Mobile App," 1,381 ", 76 ,182," 1,457 ",,,,,
Network Group (13. Network),NBC Entertainment,Android,Media Player,Android Other,Mobile App, -   , -   ,0, -   ,,,,,
Network Group (13. Network),E!,Unknown,Other,Roku,Connected Device," 172,500 ", -   ,"29,093"," 172,500 ",,,,,
Network Group (13. Network),E!,Unknown,Other,Apple TV,Connected Device," 134,792 ", -   ,"20,316"," 134,792 ",,,,,
Network Group (13. Network),E!,Unknown,Other,Chromecast,Connected Device," 84,259 "," 3,917 ","8,572"," 88,176 ",,,,,
Network Group (13. Network),USA,Unknown,Other,Apple TV,Connected Device," 358,174 ", -   ,"61,182"," 358,174 ",,,,,
Network Group (13. Network),USA,Unknown,Other,Roku,Connected Device," 283,567 ", -   ,"54,938"," 283,567 ",,,,,
Network Group (13. Network),USA,Unknown,Other,Chromecast,Connected Device," 147,146 "," 18,907 ","19,045"," 166,053 ",,,,,
Network Group (13. Network),USA,Unknown,Other,Xbox One,Connected Device," 21,069 ", -   ,"5,031"," 21,069 ",,,,,
Network Group (13. Network),Bravo,Unknown,Other,Roku,Connected Device," 722,305 ", -   ,"96,139"," 722,305 ",,,,,
Network Group (13. Network),Bravo,Unknown,Other,Apple TV,Connected Device," 566,393 ", -   ,"52,321"," 566,393 ",,,,,
Network Group (13. Network),Bravo,Unknown,Other,Chromecast,Connected Device," 391,414 "," 29,821 ","27,485"," 421,235 ",,,,,
Network Group (13. Network),Bravo,Unknown,Other,Xbox One,Connected Device," 15,029 ", -   ,"2,075"," 15,029 ",,,,,
Network Group (13. Network),Telemundo,Unknown,Other,Roku,Connected Device," 261,721 ", -   ,"30,635"," 261,721 ",,,,,
Network Group (13. Network),Telemundo,Unknown,Other,Chromecast,Connected Device," 88,536 ", 2 ,"5,562"," 88,538 ",,,,,
Network Group (13. Network),Telemundo,Unknown,Other,Apple TV,Connected Device," 63,880 ", -   ,"4,473"," 63,880 ",,,,,
Network Group (13. Network),Telemundo,Unknown,Other,Xbox One,Connected Device," 16,308 ", -   ,"1,511"," 16,308 ",,,,,
Network Group (13. Network),Syfy,Unknown,Other,Roku,Connected Device," 209,906 ", -   ,"42,079"," 209,906 ",,,,,
Network Group (13. Network),Syfy,Unknown,Other,Apple TV,Connected Device," 134,109 ", -   ,"21,614"," 134,109 ",,,,,
Network Group (13. Network),Syfy,Unknown,Other,Chromecast,Connected Device," 81,345 "," 2,628 ","8,402"," 83,973 ",,,,,
Network Group (13. Network),Syfy,Unknown,Other,Xbox One,Connected Device," 57,980 ", -   ,"8,395"," 57,980 ",,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Apple TV,Connected Device," 1,190,524 ", 113 ,"205,891"," 1,190,637 ",,,,,
